region,category,subcortex_parcel_res
amygdala,amygdala,S1
caudate,caudate,S1
pallidum,pallidum,S1
hippocampus,hippocampus,S1
accumbens,accumbens,S1
putamen,putamen,S1
thalamus_anterior,thalamus,S1
thalamus_posterior,thalamus,S1
accumbens_core,accumbens,S2
accumbens_shell,accumbens,S2
thalamus_DA,thalamus,S2
thalamus_DP,thalamus,S2
thalamus_VA,thalamus,S2
thalamus_VP,thalamus,S2
caudate_anterior,caudate,S2
pallidum_anterior,pallidum,S2
putamen_anterior,putamen,S2
amygdala_lateral,amygdala,S2
amygdala_medial,amygdala,S2
caudate_posterior,caudate,S2
pallidum_posterior,pallidum,S2
putamen_posterior,putamen,S2
hippocampus_head,hippocampus,S2
hippocampus_body,hippocampus,S2
hippocampus_tail,hippocampus,S2
caudate_DA,caudate,S3
caudate_VA,caudate,S3
caudate_post,caudate,S3
hippocampus_head_med,hippocampus,S3
hippocampus_head_lat,hippocampus,S3
hippocampus_body_med,hippocampus,S3
hippocampus_body_lat,hippocampus,S3
hippocampus_tail,hippocampus,S3
accumbens_core,accumbens,S3
accumbens_shell,accumbens,S3
putamen_DA,putamen,S3
putamen_DP,putamen,S3
putamen_VA,putamen,S3
putamen_VP,putamen,S3
thalamus_DAl,thalamus,S3
thalamus_DAm,thalamus,S3
thalamus_DPl,thalamus,S3
thalamus_DPm,thalamus,S3
thalamus_VAi,thalamus,S3
thalamus_VAs,thalamus,S3
thalamus_VPl,thalamus,S3
thalamus_VPm,thalamus,S3
GP_ant,pallidum,S3
GP_post,pallidum,S3
amygdala_lat,amygdala,S3
amygdala_SM,amygdala,S3
amygdala_CL,amygdala,S3
caudate_VA,caudate,S4
caudate_DAi,caudate,S4
caudate_DAs,caudate,S4
caudate_post,caudate,S4
hippocampus_head_med_1,hippocampus,S4
hippocampus_head_med_2,hippocampus,S4
hippocampus_head_lat_1,hippocampus,S4
hippocampus_head_lat_2,hippocampus,S4
hippocampus_body_med,hippocampus,S4
hippocampus_body_lat,hippocampus,S4
hippocampus_tail,hippocampus,S4
accumbens_core,accumbens,S4
accumbens_shell,accumbens,S4
putamen_DA,putamen,S4
putamen_DP,putamen,S4
putamen_VA,putamen,S4
putamen_VP,putamen,S4
thalamus_DAl,thalamus,S4
thalamus_DAm,thalamus,S4
thalamus_DPl,thalamus,S4
thalamus_DPm,thalamus,S4
thalamus_VAia,thalamus,S4
thalamus_VAip,thalamus,S4
thalamus_VAs,thalamus,S4
thalamus_VPl,thalamus,S4
thalamus_VPm,thalamus,S4
GP_ant,pallidum,S4
GP_post,pallidum,S4
amygdala_lat,amygdala,S4
amygdala_SM,amygdala,S4
amygdala_CL,amygdala,S4
