Region_Index,Region_Name
1,CLi_RLi
2,CnF_l
3,CnF_r
4,DR
5,IC_l
6,IC_r
7,ION_l
8,ION_r
9,LC_l
10,LC_r
11,LDTg_CGPn_l
12,LDTg_CGPn_r
13,LPB_l
14,LPB_r
15,MiTg_PBG_l
16,MiTg_PBG_r
17,MnR
18,MPB_l
19,MPB_r
20,PAG
21,PCRtA_l
22,PCRtA_r
23,PMnR
24,PnO_PnC_l
25,PnO_PnC_r
26,PTg_l
27,PTg_r
28,RMg
29,RN1_l
30,RN1_r
31,RN2_l
32,RN2_r
33,ROb
34,RPa
35,SC_l
36,SC_r
37,SN1_l
38,SN1_r
39,SN2_l
40,SN2_r
41,SOC_l
42,SOC_r
43,SubC_l
44,SubC_r
45,Ve_l
46,Ve_r
47,VSM_l
48,VSM_r
49,VTA_PBP_l
50,VTA_PBP_r
51,iMRtl_l
52,iMRtl_r
53,iMRtm_l
54,iMRtm_r
55,isRt_l
56,isRt_r
57,mRta_l
58,mRta_r
59,mRtd_l
60,mRtd_r
61,mRtl_l
62,mRtl_r
63,sMRtl_l
64,sMRtl_r
65,sMRtm_l
66,sMRtm_r
