region,Hemisphere,seg_index,face,plot_order
Thalamus-9,R,384,lateral,1
Thalamus-7,R,380,lateral,2
Caudate-3,R,352,lateral,3
Caudate-1,R,348,lateral,4
Amygdala-1,R,346,lateral,5
Caudate-2,R,350,lateral,6
Caudate-4,R,354,lateral,7
Thalamus-6,R,378,lateral,8
Thalamus-5,R,376,lateral,9
Thalamus-2,R,370,lateral,10
Caudate-5,R,356,lateral,11
Caudate-6,R,358,lateral,12
Caudate-7,R,360,lateral,13
Putamen-2,R,364,lateral,14
Putamen-3,R,366,lateral,15
Putamen-3,R,366,medial,16
Putamen-2,R,364,medial,17
Pallidum-1,R,362,medial,18
Thalamus-5,R,376,medial,19
Thalamus-6,R,378,medial,20
Thalamus-7,R,380,medial,21
Thalamus-8,R,382,medial,22
Thalamus-4,R,374,medial,23
Caudate-5,R,356,medial,24
Amygdala-1,R,346,medial,25
Thalamus-9,R,384,medial,26
Caudate-4,R,354,medial,27
Caudate-6,R,358,medial,28
Caudate-7,R,360,medial,29
Caudate-1,R,348,medial,30
Caudate-2,R,350,medial,31
Caudate-3,R,352,medial,32
Thalamus-2,R,370,medial,33
Thalamus-3,R,372,medial,34
Thalamus-1,R,368,medial,35
Thalamus-9,R,384,superior,36
Caudate-3,R,352,superior,37
Caudate-2,R,350,superior,38
Caudate-1,R,348,superior,39
Thalamus-4,R,374,superior,40
Thalamus-5,R,376,superior,41
Pallidum-1,R,362,superior,42
Putamen-3,R,366,superior,43
Putamen-2,R,364,superior,44
Thalamus-2,R,370,superior,45
Thalamus-1,R,368,superior,46
Caudate-5,R,356,superior,47
Caudate-6,R,358,superior,48
Caudate-4,R,354,superior,49
Caudate-7,R,360,superior,50
Thalamus-6,R,378,superior,51
Thalamus-8,R,382,superior,52
Caudate-5,R,356,inferior,53
Caudate-6,R,358,inferior,54
Caudate-4,R,354,inferior,55
Thalamus-1,R,368,inferior,56
Caudate-1,R,348,inferior,57
Caudate-2,R,350,inferior,58
Thalamus-6,R,378,inferior,59
Thalamus-2,R,370,inferior,60
Thalamus-5,R,376,inferior,61
Putamen-3,R,366,inferior,62
Putamen-2,R,364,inferior,63
Caudate-3,R,352,inferior,64
Pallidum-1,R,362,inferior,65
Amygdala-1,R,346,inferior,66
Thalamus-8,R,382,inferior,67
Thalamus-9,R,384,inferior,68
