region,Hemisphere,seg_index,face,plot_order
RPa,B,34,lateral,1
ROb,B,33,lateral,2
RMg,B,28,lateral,3
DR,B,4,lateral,4
CLi_RLi,B,1,lateral,5
RN1,R,30,lateral,6
RN2,R,32,lateral,7
SOC,R,42,lateral,8
iMRtm,R,54,lateral,9
VSM,R,48,lateral,10
sMRtl,R,64,lateral,11
iMRtl,R,52,lateral,12
ION,R,8,lateral,13
LDTg_CGPn,R,12,lateral,14
Ve,R,46,lateral,15
LC,R,10,lateral,16
SubC,R,44,lateral,17
PCRtA,R,22,lateral,18
PMnR,B,23,lateral,19
MnR,B,17,lateral,20
MPB,R,19,lateral,21
LPB,R,14,lateral,22
VTA_PBP,R,50,lateral,23
SN1,R,38,lateral,24
SN2,R,40,lateral,25
mRta,R,58,lateral,26
PTg,R,27,lateral,27
PAG,B,20,lateral,28
CnF,R,3,lateral,29
isRt,R,56,lateral,30
MiTg_PBG,R,16,lateral,31
IC,R,6,lateral,32
mRtd,R,60,lateral,33
SC,R,36,lateral,34
mRtl,R,62,lateral,35
ION,R,8,medial,36
sMRtl,R,64,medial,37
SOC,R,42,medial,38
iMRtl,R,52,medial,39
RPa,B,34,medial,40
sMRtm,R,66,medial,41
VSM,R,48,medial,42
ROb,B,33,medial,43
Ve,R,46,medial,44
PCRtA,R,22,medial,45
RMg,B,28,medial,46
IC,R,6,medial,47
mRtl,R,62,medial,48
PTg,R,27,medial,49
SubC,R,44,medial,50
PnO_PnC,R,25,medial,51
LPB,R,14,medial,52
MPB,R,19,medial,53
LC,R,10,medial,54
LDTg_CGPn,R,12,medial,55
PMnR,B,23,medial,56
MnR,B,17,medial,57
SN1,R,38,medial,58
SC,R,36,medial,59
DR,B,4,medial,60
PAG,B,20,medial,61
SN2,R,40,medial,62
VTA_PBP,R,50,medial,63
mRtd,R,60,medial,64
RN2,R,32,medial,65
mRta,R,58,medial,66
CLi_RLi,B,1,medial,67
RN1,R,30,medial,68
SN1,R,38,superior,69
SN2,R,40,superior,70
RN2,R,32,superior,71
VTA_PBP,R,50,superior,72
RN1,R,30,superior,73
mRta,R,58,superior,74
PTg,R,27,superior,75
isRt,R,56,superior,76
iMRtl,R,52,superior,77
ROb,B,33,superior,78
VSM,R,48,superior,79
sMRtl,R,64,superior,80
Ve,R,46,superior,81
LDTg_CGPn,R,12,superior,82
MPB,R,19,superior,83
LPB,R,14,superior,84
CLi_RLi,B,1,superior,85
DR,B,4,superior,86
PAG,B,20,superior,87
IC,R,6,superior,88
CnF,R,3,superior,89
SC,R,36,superior,90
MiTg_PBG,R,16,superior,91
mRtl,R,62,superior,92
mRtd,R,60,superior,93
RN1,R,30,inferior,94
mRta,R,58,inferior,95
RN2,R,32,inferior,96
VTA_PBP,R,50,inferior,97
mRtd,R,60,inferior,98
CLi_RLi,B,1,inferior,99
mRtl,R,62,inferior,100
SC,R,36,inferior,101
PAG,B,20,inferior,102
DR,B,4,inferior,103
PMnR,B,23,inferior,104
CnF,R,3,inferior,105
MiTg_PBG,R,16,inferior,106
PTg,R,27,inferior,107
LPB,R,14,inferior,108
LDTg_CGPn,R,12,inferior,109
MPB,R,19,inferior,110
PnO_PnC,R,25,inferior,111
PCRtA,R,22,inferior,112
SOC,R,42,inferior,113
sMRtm,R,66,inferior,114
sMRtl,R,64,inferior,115
VSM,R,48,inferior,116
ION,R,8,inferior,117
ROb,B,33,inferior,118
iMRtm,R,54,inferior,119
RPa,B,34,inferior,120
iMRtl,R,52,inferior,121
SN2,R,40,inferior,122
SN1,R,38,inferior,123
,,,,124
,,,,125
,,,,126
,,,,127
,,,,128
,,,,129
,,,,130
,,,,131
,,,,132
,,,,133
,,,,134
,,,,135
,,,,136
,,,,137
,,,,138
,,,,139
,,,,140
,,,,141
,,,,142
,,,,143
,,,,144
,,,,145
,,,,146
,,,,147
,,,,148
,,,,149
,,,,150
,,,,151
,,,,152
,,,,153
,,,,154
,,,,155
,,,,156
,,,,157
,,,,158
,,,,159
,,,,160
,,,,161
,,,,162
,,,,163
,,,,164
,,,,165
,,,,166
,,,,167
