region,Hemisphere,seg_index,face,plot_order
RPa,BL,34,lateral,1
ROb,BL,33,lateral,2
RMg,BL,28,lateral,3
DR,BL,4,lateral,4
CLi_RLi,BL,1,lateral,5
RN1,L,29,lateral,6
RN2,L,31,lateral,7
SOC,L,41,lateral,8
iMRtm,L,53,lateral,9
VSM,L,47,lateral,10
sMRtl,L,63,lateral,11
iMRtl,L,51,lateral,12
ION,L,7,lateral,13
LDTg_CGPn,L,11,lateral,14
Ve,L,45,lateral,15
LC,L,9,lateral,16
SubC,L,43,lateral,17
PCRtA,L,21,lateral,18
PMnR,BL,23,lateral,19
MnR,BL,17,lateral,20
MPB,L,18,lateral,21
LPB,L,13,lateral,22
VTA_PBP,L,49,lateral,23
SN1,L,37,lateral,24
SN2,L,39,lateral,25
mRta,L,57,lateral,26
PTg,L,26,lateral,27
PAG,BL,20,lateral,28
CnF,L,2,lateral,29
isRt,L,55,lateral,30
MiTg_PBG,L,15,lateral,31
IC,L,5,lateral,32
mRtd,L,59,lateral,33
SC,L,35,lateral,34
mRtl,L,61,lateral,35
ION,L,7,medial,36
sMRtl,L,63,medial,37
SOC,L,41,medial,38
iMRtl,L,51,medial,39
RPa,BL,34,medial,40
sMRtm,L,65,medial,41
VSM,L,47,medial,42
ROb,BL,33,medial,43
Ve,L,45,medial,44
PCRtA,L,21,medial,45
RMg,BL,28,medial,46
IC,L,5,medial,47
mRtl,L,61,medial,48
PTg,L,26,medial,49
SubC,L,43,medial,50
PnO_PnC,L,24,medial,51
LPB,L,13,medial,52
MPB,L,18,medial,53
LC,L,9,medial,54
LDTg_CGPn,L,11,medial,55
PMnR,BL,23,medial,56
MnR,BL,17,medial,57
SN1,L,37,medial,58
SC,L,35,medial,59
DR,BL,4,medial,60
PAG,BL,20,medial,61
SN2,L,39,medial,62
VTA_PBP,L,49,medial,63
mRtd,L,59,medial,64
RN2,L,31,medial,65
mRta,L,57,medial,66
CLi_RLi,BL,1,medial,67
RN1,L,29,medial,68
RPa,BR,34,lateral,69
ROb,BR,33,lateral,70
RMg,BR,28,lateral,71
DR,BR,4,lateral,72
CLi_RLi,BR,1,lateral,73
RN1,R,30,lateral,74
RN2,R,32,lateral,75
SOC,R,42,lateral,76
iMRtm,R,54,lateral,77
VSM,R,48,lateral,78
sMRtl,R,64,lateral,79
iMRtl,R,52,lateral,80
ION,R,8,lateral,81
LDTg_CGPn,R,12,lateral,82
Ve,R,46,lateral,83
LC,R,10,lateral,84
SubC,R,44,lateral,85
PCRtA,R,22,lateral,86
PMnR,BR,23,lateral,87
MnR,BR,17,lateral,88
MPB,R,19,lateral,89
LPB,R,14,lateral,90
VTA_PBP,R,50,lateral,91
SN1,R,38,lateral,92
SN2,R,40,lateral,93
mRta,R,58,lateral,94
PTg,R,27,lateral,95
PAG,BR,20,lateral,96
CnF,R,3,lateral,97
isRt,R,56,lateral,98
MiTg_PBG,R,16,lateral,99
IC,R,6,lateral,100
mRtd,R,60,lateral,101
SC,R,36,lateral,102
mRtl,R,62,lateral,103
ION,R,8,medial,104
sMRtl,R,64,medial,105
SOC,R,42,medial,106
iMRtl,R,52,medial,107
RPa,BR,34,medial,108
sMRtm,R,66,medial,109
VSM,R,48,medial,110
ROb,BR,33,medial,111
Ve,R,46,medial,112
PCRtA,R,22,medial,113
RMg,BR,28,medial,114
IC,R,6,medial,115
mRtl,R,62,medial,116
PTg,R,27,medial,117
SubC,R,44,medial,118
PnO_PnC,R,25,medial,119
LPB,R,14,medial,120
MPB,R,19,medial,121
LC,R,10,medial,122
LDTg_CGPn,R,12,medial,123
PMnR,BR,23,medial,124
MnR,BR,17,medial,125
SN1,R,38,medial,126
SC,R,36,medial,127
DR,BR,4,medial,128
PAG,BR,20,medial,129
SN2,R,40,medial,130
VTA_PBP,R,50,medial,131
mRtd,R,60,medial,132
RN2,R,32,medial,133
mRta,R,58,medial,134
CLi_RLi,BR,1,medial,135
RN1,R,30,medial,136
SN1,L,37,superior,137
SN1,R,38,superior,138
SN2,L,39,superior,139
SN2,R,40,superior,140
RN2,L,31,superior,141
RN2,R,32,superior,142
VTA_PBP,L,49,superior,143
VTA_PBP,R,50,superior,144
RN1,L,29,superior,145
RN1,R,30,superior,146
mRta,L,57,superior,147
mRta,R,58,superior,148
PTg,L,26,superior,149
PTg,R,27,superior,150
isRt,L,55,superior,151
isRt,R,56,superior,152
iMRtl,L,51,superior,153
iMRtl,R,52,superior,154
ROb,B,33,superior,155
VSM,L,47,superior,156
VSM,R,48,superior,157
sMRtl,L,63,superior,158
sMRtl,R,64,superior,159
Ve,L,45,superior,160
Ve,R,46,superior,161
LDTg_CGPn,L,11,superior,162
LDTg_CGPn,R,12,superior,163
MPB,L,18,superior,164
MPB,R,19,superior,165
LPB,L,13,superior,166
LPB,R,14,superior,167
CLi_RLi,B,1,superior,168
DR,B,4,superior,169
PAG,B,20,superior,170
IC,L,5,superior,171
IC,R,6,superior,172
CnF,L,2,superior,173
CnF,R,3,superior,174
SC,L,35,superior,175
SC,R,36,superior,176
MiTg_PBG,L,15,superior,177
MiTg_PBG,R,16,superior,178
mRtl,L,61,superior,179
mRtl,R,62,superior,180
mRtd,L,59,superior,181
mRtd,R,60,superior,182
RN1,L,29,inferior,183
RN1,R,30,inferior,184
mRta,L,57,inferior,185
mRta,R,58,inferior,186
RN2,L,31,inferior,187
RN2,R,32,inferior,188
VTA_PBP,L,49,inferior,189
VTA_PBP,R,50,inferior,190
mRtd,L,59,inferior,191
mRtd,R,60,inferior,192
CLi_RLi,B,1,inferior,193
mRtl,L,61,inferior,194
mRtl,R,62,inferior,195
SC,L,35,inferior,196
SC,R,36,inferior,197
PAG,B,20,inferior,199
DR,B,4,inferior,200
PMnR,B,23,inferior,201
CnF,L,2,inferior,202
CnF,R,3,inferior,203
MiTg_PBG,L,15,inferior,204
MiTg_PBG,R,16,inferior,205
PTg,L,26,inferior,206
PTg,R,27,inferior,207
LPB,L,13,inferior,208
LPB,R,14,inferior,209
LDTg_CGPn,L,11,inferior,210
LDTg_CGPn,R,12,inferior,211
MPB,L,18,inferior,212
MPB,R,19,inferior,213
PnO_PnC,L,24,inferior,214
PnO_PnC,R,25,inferior,215
PCRtA,L,21,inferior,216
PCRtA,R,22,inferior,217
SOC,L,41,inferior,218
SOC,R,42,inferior,219
sMRtm,L,65,inferior,220
sMRtm,R,66,inferior,221
sMRtl,L,63,inferior,222
sMRtl,R,64,inferior,223
VSM,L,47,inferior,224
VSM,R,48,inferior,225
ION,L,7,inferior,226
ION,R,8,inferior,227
ROb,B,33,inferior,228
iMRtm,L,53,inferior,229
iMRtm,R,54,inferior,230
RPa,B,34,inferior,231
iMRtl,L,51,inferior,232
iMRtl,R,52,inferior,233
SN2,L,39,inferior,234
SN2,R,40,inferior,235
SN1,L,37,inferior,236
SN1,R,38,inferior,237
