region,Hemisphere,seg_index,face,plot_order
Ca,L,2,lateral,1
NAC,L,3,lateral,2
RN,L,8,lateral,3
HN,L,13,lateral,4
MN,L,15,lateral,5
HTH,L,14,lateral,6
SNc_PBP_VTA,L,7,lateral,7
SNr,L,9,lateral,8
Pu,L,1,lateral,9
Pu,L,1,medial,10
HN,L,13,medial,11
SNr,L,9,medial,12
SNc_PBP_VTA,L,7,medial,13
STH,L,16,medial,14
RN,L,8,medial,15
GPe,L,5,medial,16
GPi,L,6,medial,17
EXA,L,4,medial,18
VeP,L,12,medial,19
HTH,L,14,medial,20
NAC,L,3,medial,21
MN,L,15,medial,22
Ca,L,2,medial,23
GPi,L,6,superior,24
GPe,L,5,superior,25
SNr,L,9,superior,26
STH,L,16,superior,27
SNc_PBP_VTA,L,7,superior,28
RN,L,8,superior,29
MN,L,15,superior,30
VeP,L,12,superior,31
HTH,L,14,superior,32
NAC,L,3,superior,33
EXA,L,4,superior,34
Pu,L,1,superior,35
Ca,L,2,superior,36
HN,L,13,superior,37
Ca,L,2,inferior,38
EXA,L,4,inferior,39
STH,L,16,inferior,40
Pu,L,1,inferior,41
GPe,L,5,inferior,42
GPi,L,6,inferior,43
VeP,L,12,inferior,44
NAC,L,3,inferior,45
HTH,L,14,inferior,46
MN,L,15,inferior,47
HN,L,13,inferior,48
RN,L,8,inferior,49
SNc_PBP_VTA,L,7,inferior,50
STH,L,16,inferior,51
SNr,L,9,inferior,52
