region,Hemisphere,seg_index,face,plot_order
Ca,R,102,lateral,1
NAC,R,103,lateral,2
RN,R,108,lateral,3
HN,R,113,lateral,4
MN,R,115,lateral,5
HTH,R,114,lateral,6
SNc_PBP_VTA,R,107,lateral,7
SNr,R,109,lateral,8
Pu,R,101,lateral,9
Pu,R,101,medial,10
HN,R,113,medial,11
SNr,R,109,medial,12
SNc_PBP_VTA,R,107,medial,13
STH,R,116,medial,14
RN,R,108,medial,15
GPe,R,105,medial,16
GPi,R,106,medial,17
EXA,R,104,medial,18
VeP,R,112,medial,19
HTH,R,114,medial,20
NAC,R,103,medial,21
MN,R,115,medial,22
Ca,R,102,medial,23
GPi,R,106,superior,24
GPe,R,105,superior,25
SNr,R,109,superior,26
STH,R,116,superior,27
SNc_PBP_VTA,R,107,superior,28
RN,R,108,superior,29
MN,R,115,superior,30
VeP,R,112,superior,31
HTH,R,114,superior,32
NAC,R,103,superior,33
EXA,R,104,superior,34
Pu,R,101,superior,35
Ca,R,102,superior,36
HN,R,113,superior,37
Ca,R,102,inferior,38
EXA,R,104,inferior,39
STH,R,116,inferior,40
Pu,R,101,inferior,41
GPe,R,105,inferior,42
GPi,R,106,inferior,43
VeP,R,112,inferior,44
NAC,R,103,inferior,45
HTH,R,114,inferior,46
MN,R,115,inferior,47
HN,R,113,inferior,48
RN,R,108,inferior,49
SNc_PBP_VTA,R,107,inferior,50
STH,R,116,inferior,51
SNr,R,109,inferior,52
