region,Hemisphere,seg_index,face,plot_order
Ca,L,2,lateral,1
NAC,L,3,lateral,2
RN,L,8,lateral,3
HN,L,13,lateral,4
MN,L,15,lateral,5
HTH,L,14,lateral,6
SNc_PBP_VTA,L,7,lateral,7
SNr,L,9,lateral,8
Pu,L,1,lateral,9
Pu,L,1,medial,10
HN,L,13,medial,11
SNr,L,9,medial,12
SNc_PBP_VTA,L,7,medial,13
STH,L,16,medial,14
RN,L,8,medial,15
GPe,L,5,medial,16
GPi,L,6,medial,17
EXA,L,4,medial,18
VeP,L,12,medial,19
HTH,L,14,medial,20
NAC,L,3,medial,21
MN,L,15,medial,22
Ca,L,2,medial,23
GPi,L,6,superior,24
GPe,L,5,superior,25
SNr,L,9,superior,26
STH,L,16,superior,27
SNc_PBP_VTA,L,7,superior,28
RN,L,8,superior,29
MN,L,15,superior,30
VeP,L,12,superior,31
HTH,L,14,superior,32
NAC,L,3,superior,33
EXA,L,4,superior,34
Pu,L,1,superior,35
Ca,L,2,superior,36
HN,L,13,superior,37
Ca,L,2,inferior,38
EXA,L,4,inferior,39
STH,L,16,inferior,40
Pu,L,1,inferior,41
GPe,L,5,inferior,42
GPi,L,6,inferior,43
VeP,L,12,inferior,44
NAC,L,3,inferior,45
HTH,L,14,inferior,46
MN,L,15,inferior,47
HN,L,13,inferior,48
RN,L,8,inferior,49
SNc_PBP_VTA,L,7,inferior,50
STH,L,16,inferior,51
SNr,L,9,inferior,52
Ca,R,102,lateral,53
NAC,R,103,lateral,54
RN,R,108,lateral,55
HN,R,113,lateral,56
MN,R,115,lateral,57
HTH,R,114,lateral,58
SNc_PBP_VTA,R,107,lateral,59
SNr,R,109,lateral,60
Pu,R,101,lateral,61
Pu,R,101,medial,62
HN,R,113,medial,63
SNr,R,109,medial,64
SNc_PBP_VTA,R,107,medial,65
STH,R,116,medial,66
RN,R,108,medial,67
GPe,R,105,medial,68
GPi,R,106,medial,69
EXA,R,104,medial,70
VeP,R,112,medial,71
HTH,R,114,medial,72
NAC,R,103,medial,73
MN,R,115,medial,74
Ca,R,102,medial,75
GPi,R,106,superior,76
GPe,R,105,superior,77
SNr,R,109,superior,78
STH,R,116,superior,79
SNc_PBP_VTA,R,107,superior,80
RN,R,108,superior,81
MN,R,115,superior,82
VeP,R,112,superior,83
HTH,R,114,superior,84
NAC,R,103,superior,85
EXA,R,104,superior,86
Pu,R,101,superior,87
Ca,R,102,superior,88
HN,R,113,superior,89
Ca,R,102,inferior,90
EXA,R,104,inferior,91
STH,R,116,inferior,92
Pu,R,101,inferior,93
GPe,R,105,inferior,94
GPi,R,106,inferior,95
VeP,R,112,inferior,96
NAC,R,103,inferior,97
HTH,R,114,inferior,98
MN,R,115,inferior,99
HN,R,113,inferior,100
RN,R,108,inferior,101
SNc_PBP_VTA,R,107,inferior,102
STH,R,116,inferior,103
SNr,R,109,inferior,104
