region,Hemisphere,seg_index,face,plot_order
putamen,L,15,medial,1
pallidum,L,13,medial,2
accumbens,L,14,medial,3
caudate,L,16,medial,4
amygdala,L,10,medial,5
hippocampus,L,9,medial,6
thalamus_posterior,L,11,medial,7
thalamus_anterior,L,12,medial,8
accumbens,L,14,lateral,9
caudate,L,16,lateral,10
thalamus_anterior,L,12,lateral,11
thalamus_posterior,L,11,lateral,12
hippocampus,L,9,lateral,13
amygdala,L,10,lateral,14
putamen,L,15,lateral,15
hippocampus,L,9,superior,16
accumbens,L,14,superior,17
pallidum,L,13,superior,18
thalamus_posterior,L,11,superior,19
putamen,L,15,superior,20
thalamus_anterior,L,12,superior,21
caudate,L,16,superior,22
caudate,L,16,inferior,23
putamen,L,15,inferior,24
pallidum,L,13,inferior,25
accumbens,L,14,inferior,26
thalamus_anterior,L,12,inferior,27
amygdala,L,10,inferior,28
thalamus_posterior,L,11,inferior,29
hippocampus,L,9,inferior,30
