region,Hemisphere,seg_index,face,plot_order
putamen_posterior,L,30,medial,1
putamen_anterior,L,29,medial,2
accumbens_core,L,26,medial,3
accumbens_shell,L,25,medial,4
caudate_anterior,L,31,medial,5
caudate_posterior,L,32,medial,6
pallidum_posterior,L,27,medial,7
pallidum_anterior,L,28,medial,8
amygdala_lateral,L,19,medial,9
amygdala_medial,L,20,medial,10
hippocampus_posterior,L,18,medial,11
hippocampus_anterior,L,17,medial,12
thalamus_DP,L,21,medial,13
thalamus_VP,L,22,medial,14
thalamus_DA,L,24,medial,15
thalamus_VA,L,23,medial,16
thalamus_VA,L,23,lateral,17
thalamus_DA,L,24,lateral,18
thalamus_DP,L,21,lateral,19
thalamus_VP,L,22,lateral,20
hippocampus_posterior,L,18,lateral,21
hippocampus_anterior,L,17,lateral,22
amygdala_medial,L,20,lateral,23
amygdala_lateral,L,19,lateral,24
caudate_posterior,L,32,lateral,25
caudate_anterior,L,31,lateral,26
accumbens_core,L,26,lateral,27
putamen_anterior,L,29,lateral,28
putamen_posterior,L,30,lateral,29
hippocampus_anterior,L,17,superior,30
accumbens_core,L,26,superior,31
accumbens_shell,L,25,superior,32
hippocampus_posterior,L,18,superior,33
thalamus_DP,L,21,superior,34
pallidum_anterior,L,28,superior,35
pallidum_posterior,L,27,superior,36
thalamus_VP,L,22,superior,37
thalamus_VA,L,23,superior,38
thalamus_DA,L,24,superior,39
putamen_anterior,L,29,superior,40
putamen_posterior,L,30,superior,41
caudate_anterior,L,31,superior,42
caudate_posterior,L,32,superior,43
caudate_anterior,L,31,inferior,44
caudate_posterior,L,32,inferior,45
thalamus_DA,L,24,inferior,46
putamen_posterior,L,30,inferior,47
putamen_anterior,L,29,inferior,48
pallidum_anterior,L,28,inferior,49
accumbens_core,L,26,inferior,50
accumbens_shell,L,25,inferior,51
thalamus_VP,L,22,inferior,52
thalamus_VA,L,23,inferior,53
amygdala_medial,L,20,inferior,54
amygdala_lateral,L,19,inferior,55
thalamus_DP,L,21,inferior,56
hippocampus_posterior,L,18,inferior,57
hippocampus_anterior,L,17,inferior,58
putamen_posterior,R,14,medial,59
putamen_anterior,R,13,medial,60
accumbens_core,R,10,medial,61
accumbens_shell,R,9,medial,62
caudate_anterior,R,15,medial,63
caudate_posterior,R,16,medial,64
pallidum_posterior,R,11,medial,65
pallidum_anterior,R,12,medial,66
amygdala_lateral,R,3,medial,67
amygdala_medial,R,4,medial,68
hippocampus_posterior,R,2,medial,69
hippocampus_anterior,R,1,medial,70
thalamus_DP,R,5,medial,71
thalamus_VP,R,6,medial,72
thalamus_DA,R,8,medial,73
thalamus_VA,R,7,medial,74
thalamus_VA,R,7,lateral,75
thalamus_DA,R,8,lateral,76
thalamus_DP,R,5,lateral,77
thalamus_VP,R,6,lateral,78
hippocampus_posterior,R,2,lateral,79
hippocampus_anterior,R,1,lateral,80
amygdala_medial,R,4,lateral,81
amygdala_lateral,R,3,lateral,82
caudate_posterior,R,16,lateral,83
caudate_anterior,R,15,lateral,84
accumbens_core,R,10,lateral,85
putamen_anterior,R,13,lateral,86
putamen_posterior,R,14,lateral,87
hippocampus_anterior,R,1,superior,88
accumbens_core,R,10,superior,89
accumbens_shell,R,9,superior,90
hippocampus_posterior,R,2,superior,91
thalamus_DP,R,5,superior,92
pallidum_anterior,R,12,superior,93
pallidum_posterior,R,11,superior,94
thalamus_VP,R,6,superior,95
thalamus_VA,R,7,superior,96
thalamus_DA,R,8,superior,97
putamen_anterior,R,13,superior,98
putamen_posterior,R,14,superior,99
caudate_anterior,R,15,superior,100
caudate_posterior,R,16,superior,101
caudate_anterior,R,15,inferior,102
caudate_posterior,R,16,inferior,103
thalamus_DA,R,8,inferior,104
putamen_posterior,R,14,inferior,105
putamen_anterior,R,13,inferior,106
pallidum_anterior,R,12,inferior,107
accumbens_core,R,10,inferior,108
accumbens_shell,R,9,inferior,109
thalamus_VP,R,6,inferior,110
thalamus_VA,R,7,inferior,111
amygdala_medial,R,4,inferior,112
amygdala_lateral,R,3,inferior,113
thalamus_DP,R,5,inferior,114
hippocampus_posterior,R,2,inferior,115
hippocampus_anterior,R,1,inferior,116
