region,Hemisphere,seg_index,face,plot_order
putamen_posterior,L,32,medial,1
putamen_anterior,L,31,medial,2
accumbens_core,L,28,medial,3
accumbens_shell,L,27,medial,4
caudate_anterior,L,33,medial,5
caudate_posterior,L,34,medial,6
pallidum_posterior,L,29,medial,7
pallidum_anterior,L,30,medial,8
amygdala_lateral,L,21,medial,9
amygdala_medial,L,22,medial,10
hippocampus_tail,L,18,medial,11
hippocampus_body,L,19,medial,12
hippocampus_head,L,20,medial,13
thalamus_DP,L,23,medial,14
thalamus_VP,L,24,medial,15
thalamus_DA,L,26,medial,16
thalamus_VA,L,25,medial,17
thalamus_VA,L,25,lateral,18
thalamus_DA,L,26,lateral,19
thalamus_DP,L,23,lateral,20
thalamus_VP,L,24,lateral,21
hippocampus_tail,L,18,lateral,22
hippocampus_body,L,19,lateral,23
hippocampus_head,L,20,lateral,24
amygdala_medial,L,22,lateral,25
amygdala_lateral,L,21,lateral,26
caudate_posterior,L,34,lateral,27
caudate_anterior,L,33,lateral,28
accumbens_core,L,28,lateral,29
putamen_anterior,L,31,lateral,30
putamen_posterior,L,32,lateral,31
hippocampus_tail,L,18,superior,32
hippocampus_head,L,20,superior,33
hippocampus_body,L,19,superior,34
amygdala_lateral,L,21,superior,35
amygdala_medial,L,22,superior,36
accumbens_core,L,28,superior,37
accumbens_shell,L,27,superior,38
thalamus_DP,L,23,superior,39
pallidum_anterior,L,30,superior,40
pallidum_posterior,L,29,superior,41
thalamus_VP,L,24,superior,42
thalamus_VA,L,25,superior,43
thalamus_DA,L,26,superior,44
putamen_anterior,L,31,superior,45
putamen_posterior,L,32,superior,46
caudate_anterior,L,33,superior,47
caudate_posterior,L,34,superior,48
caudate_anterior,L,33,inferior,49
caudate_posterior,L,34,inferior,50
thalamus_DA,L,26,inferior,51
putamen_posterior,L,32,inferior,52
putamen_anterior,L,31,inferior,53
pallidum_anterior,L,30,inferior,54
accumbens_core,L,28,inferior,55
accumbens_shell,L,27,inferior,56
thalamus_VP,L,24,inferior,57
thalamus_VA,L,25,inferior,58
amygdala_medial,L,22,inferior,59
amygdala_lateral,L,21,inferior,60
thalamus_DP,L,23,inferior,61
hippocampus_tail,L,18,inferior,62
hippocampus_body,L,19,inferior,63
hippocampus_head,L,20,inferior,64
