region,Hemisphere,seg_index,face,plot_order,,,,,,,
thalamus_VP_med,R,5,lateral,1,,,,,,,
thalamus_DA_med,R,9,lateral,2,,,,,,,
thalamus_VA_sup,R,8,lateral,3,,,,,,,
thalamus_VP_lat,R,6,lateral,4,,,,,,,
thalamus_DA_lat,R,10,lateral,5,,,,,,,
thalamus_DP,R,21,lateral,6,,,,,,,
hippocampus_tail,R,4,lateral,7,,,,,,,
hippocampus_body,R,3,lateral,8,,,,,,,
amygdala_med,R,20,lateral,9,,,,,,,
hippocampus_head_lat,R,2,lateral,10,,,,,,,
amygdala_lat,R,19,lateral,11,,,,,,,
accumbens_core,R,23,lateral,12,,,,,,,
caudate_DA,R,16,lateral,13,,,,,,,
caudate_body,R,17,lateral,14,,,,,,,
caudate_tail,R,18,lateral,15,,,,,,,
putamen_VA,R,11,lateral,16,,,,,,,
putamen_DA,R,12,lateral,17,,,,,,,
putamen_DP,R,14,lateral,18,,,,,,,
putamen_VP,R,13,lateral,19,,,,,,,
putamen_DA,R,12,medial,20,,,,,,,
putamen_VP,R,13,medial,21,,,,,,,
putamen_DP,R,14,medial,22,,,,,,,
putamen_VA,R,11,medial,23,,,,,,,
thalamus_VP_lat,R,6,medial,24,,,,,,,
accumbens_core,R,23,medial,25,,,,,,,
accumbens_shell,R,22,medial,26,,,,,,,
caudate_DA,R,16,medial,27,,,,,,,
caudate_VA,R,15,medial,28,,,,,,,
caudate_body,R,17,medial,29,,,,,,,
caudate_tail,R,18,medial,30,,,,,,,
amygdala_lat,R,19,medial,31,,,,,,,
hippocampus_head_lat,R,2,medial,32,,,,,,,
hippocampus_body,R,3,medial,33,,,,,,,
hippocampus_head_med,R,1,medial,34,,,,,,,
amygdala_med,R,20,medial,35,,,,,,,
hippocampus_tail,R,4,medial,36,,,,,,,
GP_post,R,24,medial,37,,,,,,,
GP_ant,R,25,medial,38,,,,,,,
thalamus_DA_lat,R,10,medial,39,,,,,,,
thalamus_DP,R,21,medial,40,,,,,,,
thalamus_VP_med,R,5,medial,41,,,,,,,
thalamus_VA_inf,R,7,medial,42,,,,,,,
thalamus_DA_med,R,9,medial,43,,,,,,,
thalamus_VA_sup,R,8,medial,44,,,,,,,
hippocampus_head_lat,R,2,superior,45,,,,,,,
hippocampus_head_med,R,1,superior,46,,,,,,,
hippocampus_body,R,3,superior,47,,,,,,,
hippocampus_tail,R,4,superior,48,,,,,,,
amygdala_lat,R,19,superior,49,,,,,,,
amygdala_med,R,20,superior,50,,,,,,,
GP_ant,R,25,superior,51,,,,,,,
GP_post,R,24,superior,52,,,,,,,
thalamus_DP,R,21,superior,53,,,,,,,
accumbens_core,R,23,superior,54,,,,,,,
accumbens_shell,R,22,superior,55,,,,,,,
thalamus_VA_inf,R,7,superior,56,,,,,,,
putamen_VA,R,11,superior,57,,,,,,,
putamen_DA,R,12,superior,58,,,,,,,
putamen_VP,R,13,superior,59,,,,,,,
putamen_DP,R,14,superior,60,,,,,,,
thalamus_VP_lat,R,6,superior,61,,,,,,,
thalamus_VP_med,R,5,superior,62,,,,,,,
thalamus_DA_lat,R,10,superior,63,,,,,,,
thalamus_DA_med,R,9,superior,64,,,,,,,
thalamus_VA_sup,R,8,superior,65,,,,,,,
caudate_VA,R,15,superior,66,,,,,,,
caudate_DA,R,16,superior,67,,,,,,,
caudate_body,R,17,superior,68,,,,,,,
caudate_tail,R,18,superior,69,,,,,,,
caudate_tail,R,18,inferior,70,,,,,,,
caudate_body,R,17,inferior,71,,,,,,,
caudate_DA,R,16,inferior,72,,,,,,,
caudate_VA,R,15,inferior,73,,,,,,,
putamen_DA,R,12,inferior,74,,,,,,,
putamen_DP,R,14,inferior,75,,,,,,,
putamen_VP,R,13,inferior,76,,,,,,,
putamen_VA,R,11,inferior,77,,,,,,,
GP_ant,R,25,inferior,78,,,,,,,
GP_post,R,24,inferior,79,,,,,,,
accumbens_core,R,23,inferior,80,,,,,,,
accumbens_shell,R,22,inferior,81,,,,,,,
thalamus_DA_med,R,9,inferior,82,,,,,,,
thalamus_DA_lat,R,10,inferior,83,,,,,,,
thalamus_VP_med,R,5,inferior,84,,,,,,,
thalamus_VP_lat,R,6,inferior,85,,,,,,,
thalamus_VA_sup,R,8,inferior,86,,,,,,,
thalamus_VA_inf,R,7,inferior,87,,,,,,,
amygdala_med,R,20,inferior,88,,,,,,,
amygdala_lat,R,19,inferior,89,,,,,,,
thalamus_DP,R,21,inferior,90,,,,,,,
hippocampus_tail,R,4,inferior,91,,,,,,,
hippocampus_body,R,3,inferior,92,,,,,,,
hippocampus_head_lat,R,2,inferior,93,,,,,,,
hippocampus_head_med,R,1,inferior,94,,,,,,,
