region,Hemisphere,seg_index,face,plot_order
thalamus_VAi,R,11,lateral,1
thalamus_DAm,R,13,lateral,2
thalamus_VAs,R,12,lateral,3
GP_ant,R,23,lateral,4
GP_post,R,24,lateral,5
thalamus_DAl,R,14,lateral,6
thalamus_DPm,R,8,lateral,7
thalamus_VPm,R,9,lateral,8
thalamus_VPl,R,10,lateral,9
thalamus_DPl,R,7,lateral,10
hippocampus_tail,R,21,lateral,11
hippocampus_body_med,R,3,lateral,12
hippocampus_body_lat,R,4,lateral,13
hippocampus_head_med,R,1,lateral,14
hippocampus_head_lat,R,2,lateral,15
amygdala_SM,R,5,lateral,16
amygdala_CL,R,6,lateral,17
amygdala_lat,R,22,lateral,18
accumbens_core,R,26,lateral,19
caudate_VA,R,19,lateral,20
caudate_DA,R,20,lateral,21
caudate_post,R,27,lateral,22
putamen_VA,R,15,lateral,23
putamen_DA,R,16,lateral,24
putamen_DP,R,18,lateral,25
putamen_VP,R,17,lateral,26
putamen_DA,R,16,medial,27
putamen_VP,R,17,medial,28
putamen_DP,R,18,medial,29
putamen_VA,R,15,medial,30
thalamus_VPl,R,10,medial,31
accumbens_core,R,26,medial,32
accumbens_shell,R,25,medial,33
caudate_DA,R,20,medial,34
caudate_VA,R,19,medial,35
caudate_post,R,27,medial,36
amygdala_lat,R,22,medial,37
hippocampus_head_lat,R,2,medial,38
hippocampus_body_lat,R,4,medial,39
hippocampus_body_med,R,3,medial,40
hippocampus_head_med,R,1,medial,41
amygdala_SM,R,5,medial,42
amygdala_CL,R,6,medial,43
hippocampus_tail,R,21,medial,44
GP_post,R,23,medial,45
GP_ant,R,24,medial,46
thalamus_DAl,R,14,medial,47
thalamus_DPl,R,7,medial,48
thalamus_DPm,R,8,medial,49
thalamus_VPm,R,9,medial,50
thalamus_DAm,R,13,medial,51
thalamus_VAs,R,12,medial,52
thalamus_VAi,R,11,medial,53
hippocampus_head_lat,R,2,superior,54
hippocampus_head_med,R,1,superior,55
hippocampus_body_lat,R,4,superior,56
hippocampus_body_med,R,3,superior,57
hippocampus_tail,R,21,superior,58
amygdala_lat,R,22,superior,59
amygdala_CL,R,6,superior,60
amygdala_SM,R,5,superior,61
GP_ant,R,24,superior,62
GP_post,R,23,superior,63
thalamus_DPl,R,7,superior,64
thalamus_DPm,R,8,superior,65
accumbens_core,R,26,superior,66
accumbens_shell,R,25,superior,67
thalamus_VAi,R,11,superior,68
putamen_VA,R,15,superior,69
putamen_DA,R,16,superior,70
putamen_VP,R,17,superior,71
putamen_DP,R,18,superior,72
thalamus_VPl,R,10,superior,73
thalamus_VPm,R,9,superior,74
thalamus_DAl,R,14,superior,75
thalamus_DAm,R,13,superior,76
thalamus_VAs,R,12,superior,77
caudate_VA,R,19,superior,78
caudate_DA,R,20,superior,79
putamen_DP,R,18,inferior,80
caudate_post,R,27,superior,81
caudate_post,R,27,inferior,82
caudate_DA,R,20,inferior,83
caudate_VA,R,19,inferior,84
putamen_DA,R,16,inferior,85
putamen_VP,R,17,inferior,86
putamen_VA,R,15,inferior,87
GP_ant,R,24,inferior,88
GP_post,R,23,inferior,89
accumbens_core,R,26,inferior,90
accumbens_shell,R,25,inferior,91
thalamus_DAm,R,13,inferior,92
thalamus_DAl,R,14,inferior,93
thalamus_VPm,R,9,inferior,94
thalamus_VPl,R,10,inferior,95
thalamus_VAs,R,12,inferior,96
thalamus_VAi,R,11,inferior,97
amygdala_SM,R,5,inferior,98
amygdala_CL,R,6,inferior,99
amygdala_lat,R,22,inferior,100
thalamus_DPm,R,8,inferior,101
thalamus_DPl,R,7,inferior,102
hippocampus_tail,R,21,inferior,103
hippocampus_body_lat,R,4,inferior,104
hippocampus_body_med,R,3,inferior,105
hippocampus_head_lat,R,2,inferior,106
hippocampus_head_med,R,1,inferior,107
