region,Hemisphere,seg_index,face,plot_order
thalamus_VAi,L,38,lateral,1
thalamus_DAm,L,40,lateral,2
thalamus_VAs,L,39,lateral,3
GP_ant,L,50,lateral,4
GP_post,L,51,lateral,5
thalamus_DAl,L,41,lateral,6
thalamus_DPm,L,35,lateral,7
thalamus_VPm,L,36,lateral,8
thalamus_VPl,L,37,lateral,9
thalamus_DPl,L,34,lateral,10
hippocampus_tail,L,48,lateral,11
hippocampus_body_med,L,30,lateral,12
hippocampus_body_lat,L,31,lateral,13
hippocampus_head_med,L,28,lateral,14
hippocampus_head_lat,L,29,lateral,15
amygdala_SM,L,32,lateral,16
amygdala_CL,L,33,lateral,17
amygdala_lat,L,49,lateral,18
accumbens_core,L,53,lateral,19
caudate_VA,L,46,lateral,20
caudate_DA,L,47,lateral,21
caudate_post,L,54,lateral,22
putamen_VA,L,42,lateral,23
putamen_DA,L,43,lateral,24
putamen_DP,L,45,lateral,25
putamen_VP,L,44,lateral,26
putamen_DA,L,43,medial,27
putamen_VP,L,44,medial,28
putamen_DP,L,45,medial,29
putamen_VA,L,42,medial,30
thalamus_VPl,L,37,medial,31
accumbens_core,L,53,medial,32
accumbens_shell,L,52,medial,33
caudate_DA,L,47,medial,34
caudate_VA,L,46,medial,35
caudate_post,L,54,medial,36
amygdala_lat,L,49,medial,37
hippocampus_head_lat,L,29,medial,38
hippocampus_body_lat,L,31,medial,39
hippocampus_body_med,L,30,medial,40
hippocampus_head_med,L,28,medial,41
amygdala_SM,L,32,medial,42
amygdala_CL,L,33,medial,43
hippocampus_tail,L,48,medial,44
GP_post,L,50,medial,45
GP_ant,L,51,medial,46
thalamus_DAl,L,41,medial,47
thalamus_DPl,L,34,medial,48
thalamus_DPm,L,35,medial,49
thalamus_VPm,L,36,medial,50
thalamus_DAm,L,40,medial,51
thalamus_VAs,L,39,medial,52
thalamus_VAi,L,38,medial,53
hippocampus_head_lat,L,29,superior,54
hippocampus_head_med,L,28,superior,55
hippocampus_body_lat,L,31,superior,56
hippocampus_body_med,L,30,superior,57
hippocampus_tail,L,48,superior,58
amygdala_lat,L,49,superior,59
amygdala_CL,L,33,superior,60
amygdala_SM,L,32,superior,61
GP_ant,L,51,superior,62
GP_post,L,50,superior,63
thalamus_DPl,L,34,superior,64
thalamus_DPm,L,35,superior,65
accumbens_core,L,53,superior,66
accumbens_shell,L,52,superior,67
thalamus_VAi,L,38,superior,68
putamen_VA,L,42,superior,69
putamen_DA,L,43,superior,70
putamen_VP,L,44,superior,71
putamen_DP,L,45,superior,72
thalamus_VPl,L,37,superior,73
thalamus_VPm,L,36,superior,74
thalamus_DAl,L,41,superior,75
thalamus_DAm,L,40,superior,76
thalamus_VAs,L,39,superior,77
caudate_VA,L,46,superior,78
caudate_DA,L,47,superior,79
putamen_DP,L,45,inferior,80
caudate_post,L,54,superior,81
caudate_post,L,54,inferior,82
caudate_DA,L,47,inferior,83
caudate_VA,L,46,inferior,84
putamen_DA,L,43,inferior,85
putamen_VP,L,44,inferior,86
putamen_VA,L,42,inferior,87
GP_ant,L,51,inferior,88
GP_post,L,50,inferior,89
accumbens_core,L,53,inferior,90
accumbens_shell,L,52,inferior,91
thalamus_DAm,L,40,inferior,92
thalamus_DAl,L,41,inferior,93
thalamus_VPm,L,36,inferior,94
thalamus_VPl,L,37,inferior,95
thalamus_VAs,L,39,inferior,96
thalamus_VAi,L,38,inferior,97
amygdala_SM,L,32,inferior,98
amygdala_CL,L,33,inferior,99
amygdala_lat,L,49,inferior,100
thalamus_DPm,L,35,inferior,101
thalamus_DPl,L,34,inferior,102
hippocampus_tail,L,48,inferior,103
hippocampus_body_lat,L,31,inferior,104
hippocampus_body_med,L,30,inferior,105
hippocampus_head_lat,L,29,inferior,106
hippocampus_head_med,L,28,inferior,107
thalamus_VAi,R,11,lateral,108
thalamus_DAm,R,13,lateral,109
thalamus_VAs,R,12,lateral,110
GP_ant,R,23,lateral,111
GP_post,R,24,lateral,112
thalamus_DAl,R,14,lateral,113
thalamus_DPm,R,8,lateral,114
thalamus_VPm,R,9,lateral,115
thalamus_VPl,R,10,lateral,116
thalamus_DPl,R,7,lateral,117
hippocampus_tail,R,21,lateral,118
hippocampus_body_med,R,3,lateral,119
hippocampus_body_lat,R,4,lateral,120
hippocampus_head_med,R,1,lateral,121
hippocampus_head_lat,R,2,lateral,122
amygdala_SM,R,5,lateral,123
amygdala_CL,R,6,lateral,124
amygdala_lat,R,22,lateral,125
accumbens_core,R,26,lateral,126
caudate_VA,R,19,lateral,127
caudate_DA,R,20,lateral,128
caudate_post,R,27,lateral,129
putamen_VA,R,15,lateral,130
putamen_DA,R,16,lateral,131
putamen_DP,R,18,lateral,132
putamen_VP,R,17,lateral,133
putamen_DA,R,16,medial,134
putamen_VP,R,17,medial,135
putamen_DP,R,18,medial,136
putamen_VA,R,15,medial,137
thalamus_VPl,R,10,medial,138
accumbens_core,R,26,medial,139
accumbens_shell,R,25,medial,140
caudate_DA,R,20,medial,141
caudate_VA,R,19,medial,142
caudate_post,R,27,medial,143
amygdala_lat,R,22,medial,144
hippocampus_head_lat,R,2,medial,145
hippocampus_body_lat,R,4,medial,146
hippocampus_body_med,R,3,medial,147
hippocampus_head_med,R,1,medial,148
amygdala_SM,R,5,medial,149
amygdala_CL,R,6,medial,150
hippocampus_tail,R,21,medial,151
GP_post,R,23,medial,152
GP_ant,R,24,medial,153
thalamus_DAl,R,14,medial,154
thalamus_DPl,R,7,medial,155
thalamus_DPm,R,8,medial,156
thalamus_VPm,R,9,medial,157
thalamus_DAm,R,13,medial,158
thalamus_VAs,R,12,medial,159
thalamus_VAi,R,11,medial,160
hippocampus_head_lat,R,2,superior,161
hippocampus_head_med,R,1,superior,162
hippocampus_body_lat,R,4,superior,163
hippocampus_body_med,R,3,superior,164
hippocampus_tail,R,21,superior,165
amygdala_lat,R,22,superior,166
amygdala_CL,R,6,superior,167
amygdala_SM,R,5,superior,168
GP_ant,R,24,superior,169
GP_post,R,23,superior,170
thalamus_DPl,R,7,superior,171
thalamus_DPm,R,8,superior,172
accumbens_core,R,26,superior,173
accumbens_shell,R,25,superior,174
thalamus_VAi,R,11,superior,175
putamen_VA,R,15,superior,176
putamen_DA,R,16,superior,177
putamen_VP,R,17,superior,178
putamen_DP,R,18,superior,179
thalamus_VPl,R,10,superior,180
thalamus_VPm,R,9,superior,181
thalamus_DAl,R,14,superior,182
thalamus_DAm,R,13,superior,183
thalamus_VAs,R,12,superior,184
caudate_VA,R,19,superior,185
caudate_DA,R,20,superior,186
putamen_DP,R,18,inferior,187
caudate_post,R,27,superior,188
caudate_post,R,27,inferior,189
caudate_DA,R,20,inferior,190
caudate_VA,R,19,inferior,191
putamen_DA,R,16,inferior,192
putamen_VP,R,17,inferior,193
putamen_VA,R,15,inferior,194
GP_ant,R,24,inferior,195
GP_post,R,23,inferior,196
accumbens_core,R,26,inferior,197
accumbens_shell,R,25,inferior,198
