region,Hemisphere,seg_index,face,plot_order
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,L,5,lateral,1
Medio_Dorsal,L,3,lateral,2
Ventral_Latero_Dorsal,L,4,lateral,3
Ventral_Anterior,L,6,lateral,4
Anterior,L,2,lateral,5
Pulvinar,L,1,lateral,6
Ventral_Latero_Ventral,L,7,lateral,7
Ventral_Latero_Ventral,L,7,medial,8
Anterior,L,2,medial,9
Pulvinar,L,1,medial,10
Ventral_Anterior,L,6,medial,11
Ventral_Latero_Dorsal,L,4,medial,12
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,L,5,medial,13
Medio_Dorsal,L,3,medial,14
Ventral_Latero_Ventral,L,7,superior,15
Pulvinar,L,1,superior,16
Medio_Dorsal,L,3,superior,17
Anterior,L,2,superior,18
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,L,5,superior,19
Ventral_Latero_Dorsal,L,4,superior,20
Ventral_Anterior,L,6,superior,21
Ventral_Anterior,L,6,inferior,22
Ventral_Latero_Dorsal,L,4,inferior,23
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,L,5,inferior,24
Anterior,L,2,inferior,25
Medio_Dorsal,L,3,inferior,26
Ventral_Latero_Ventral,L,7,inferior,27
Pulvinar,L,1,inferior,28
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,R,12,lateral,29
Medio_Dorsal,R,10,lateral,30
Ventral_Latero_Dorsal,R,11,lateral,31
Ventral_Anterior,R,13,lateral,32
Anterior,R,9,lateral,33
Pulvinar,R,8,lateral,34
Ventral_Latero_Ventral,R,14,lateral,35
Ventral_Latero_Ventral,R,14,medial,36
Anterior,R,9,medial,37
Pulvinar,R,8,medial,38
Ventral_Anterior,R,13,medial,39
Ventral_Latero_Dorsal,R,11,medial,40
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,R,12,medial,41
Medio_Dorsal,R,10,medial,42
Ventral_Latero_Ventral,R,14,superior,43
Pulvinar,R,8,superior,44
Medio_Dorsal,R,10,superior,45
Anterior,R,9,superior,46
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,R,12,superior,47
Ventral_Latero_Dorsal,R,11,superior,48
Ventral_Anterior,R,13,superior,49
Ventral_Anterior,R,13,inferior,50
Ventral_Latero_Dorsal,R,11,inferior,51
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,R,12,inferior,52
Anterior,R,9,inferior,53
Medio_Dorsal,R,10,inferior,54
Ventral_Latero_Ventral,R,14,inferior,55
Pulvinar,R,8,inferior,56
