region,Hemisphere,seg_index,face,plot_order
MD,L,12,lateral,1
AV,L,2,lateral,2
VA,L,4,lateral,3
CM,L,11,lateral,4
VLp,L,6,lateral,5
Pul,L,8,lateral,6
VPl,L,7,lateral,7
MGN,L,10,lateral,8
LGN,L,9,lateral,9
VLa,L,5,lateral,10
VLa,L,5,medial,11
VA,L,4,medial,12
VLp,L,6,medial,13
Pul,L,8,medial,14
LGN,L,9,medial,15
MGN,L,10,medial,16
CM,L,11,medial,17
MD,L,12,medial,18
Hb,L,13,medial,19
AV,L,2,medial,20
LGN,L,9,superior,21
CM,L,11,superior,22
VA,L,4,superior,23
VPl,L,7,superior,24
VLp,L,6,superior,25
Hb,L,13,superior,26
MD,L,12,superior,27
AV,L,2,superior,28
Pul,L,8,superior,29
AV,L,2,inferior,30
Pul,L,8,inferior,31
VPl,L,7,inferior,32
MD,L,12,inferior,33
MGN,L,10,inferior,34
LGN,L,9,inferior,35
CM,L,11,inferior,36
VLp,L,6,inferior,37
VA,L,4,inferior,38
VLa,L,5,inferior,39
Hb,L,13,inferior,40
