region,Hemisphere,seg_index,face,plot_order
MD,R,26,lateral,1
AV,R,16,lateral,2
VA,R,18,lateral,3
CM,R,25,lateral,4
VLp,R,20,lateral,5
Pul,R,22,lateral,6
VPl,R,21,lateral,7
MGN,R,24,lateral,8
LGN,R,23,lateral,9
VLa,R,19,lateral,10
VLa,R,19,medial,11
VA,R,18,medial,12
VLp,R,20,medial,13
Pul,R,22,medial,14
LGN,R,23,medial,15
MGN,R,24,medial,16
CM,R,25,medial,17
MD,R,26,medial,18
Hb,R,27,medial,19
AV,R,16,medial,20
LGN,R,23,superior,21
CM,R,25,superior,22
VA,R,18,superior,23
VPl,R,21,superior,24
VLp,R,20,superior,25
Hb,R,27,superior,26
MD,R,26,superior,27
AV,R,16,superior,28
Pul,R,22,superior,29
AV,R,16,inferior,30
Pul,R,22,inferior,31
VPl,R,21,inferior,32
MD,R,26,inferior,33
MGN,R,24,inferior,34
LGN,R,23,inferior,35
CM,R,25,inferior,36
VLp,R,20,inferior,37
VA,R,18,inferior,38
VLa,R,19,inferior,39
Hb,R,27,inferior,40
