region,Hemisphere,seg_index,face,plot_order
MD,L,12,lateral,1
AV,L,2,lateral,2
VA,L,4,lateral,3
CM,L,11,lateral,4
VLp,L,6,lateral,5
Pul,L,8,lateral,6
VPl,L,7,lateral,7
MGN,L,10,lateral,8
LGN,L,9,lateral,9
VLa,L,5,lateral,10
VLa,L,5,medial,11
VA,L,4,medial,12
VLp,L,6,medial,13
Pul,L,8,medial,14
LGN,L,9,medial,15
MGN,L,10,medial,16
CM,L,11,medial,17
MD,L,12,medial,18
Hb,L,13,medial,19
AV,L,2,medial,20
LGN,L,9,superior,21
CM,L,11,superior,22
VA,L,4,superior,23
VPl,L,7,superior,24
VLp,L,6,superior,25
Hb,L,13,superior,26
MD,L,12,superior,27
AV,L,2,superior,28
Pul,L,8,superior,29
AV,L,2,inferior,30
Pul,L,8,inferior,31
VPl,L,7,inferior,32
MD,L,12,inferior,33
MGN,L,10,inferior,34
LGN,L,9,inferior,35
CM,L,11,inferior,36
VLp,L,6,inferior,37
VA,L,4,inferior,38
VLa,L,5,inferior,39
Hb,L,13,inferior,40
MD,R,26,lateral,41
AV,R,16,lateral,42
VA,R,18,lateral,43
CM,R,25,lateral,44
VLp,R,20,lateral,45
Pul,R,22,lateral,46
VPl,R,21,lateral,47
MGN,R,24,lateral,48
LGN,R,23,lateral,49
VLa,R,19,lateral,50
VLa,R,19,medial,51
VA,R,18,medial,52
VLp,R,20,medial,53
Pul,R,22,medial,54
LGN,R,23,medial,55
MGN,R,24,medial,56
CM,R,25,medial,57
MD,R,26,medial,58
Hb,R,27,medial,59
AV,R,16,medial,60
LGN,R,23,superior,61
CM,R,25,superior,62
VA,R,18,superior,63
VPl,R,21,superior,64
VLp,R,20,superior,65
Hb,R,27,superior,66
MD,R,26,superior,67
AV,R,16,superior,68
Pul,R,22,superior,69
AV,R,16,inferior,70
Pul,R,22,inferior,71
VPl,R,21,inferior,72
MD,R,26,inferior,73
MGN,R,24,inferior,74
LGN,R,23,inferior,75
CM,R,25,inferior,76
VLp,R,20,inferior,77
VA,R,18,inferior,78
VLa,R,19,inferior,79
Hb,R,27,inferior,80
