region,Hemisphere,seg_index,face,plot_order
accumbens,L,26,lateral,1
caudate,L,11,lateral,2
thalamus,L,10,lateral,3
hippocampus,L,17,lateral,4
amygdala,L,18,lateral,5
putamen,L,12,lateral,6
putamen,L,12,medial,7
pallidum,L,13,medial,8
caudate,L,11,medial,9
thalamus,L,10,medial,10
amygdala,L,18,medial,11
hippocampus,L,17,medial,12
accumbens,L,26,medial,13
accumbens,L,26,superior,14
hippocampus,L,17,superior,15
pallidum,L,13,superior,16
putamen,L,12,superior,17
thalamus,L,10,superior,18
caudate,L,11,superior,19
caudate,L,11,inferior,20
accumbens,L,26,inferior,21
putamen,L,12,inferior,22
thalamus,L,10,inferior,23
pallidum,L,13,inferior,24
amygdala,L,18,inferior,25
hippocampus,L,17,inferior,26
