region,Hemisphere,seg_index,face,plot_order
accumbens,R,58,lateral,1
caudate,R,50,lateral,2
thalamus,R,49,lateral,3
hippocampus,R,53,lateral,4
amygdala,R,54,lateral,5
putamen,R,51,lateral,6
putamen,R,51,medial,7
pallidum,R,52,medial,8
caudate,R,50,medial,9
thalamus,R,49,medial,10
amygdala,R,54,medial,11
hippocampus,R,53,medial,12
accumbens,R,58,medial,13
accumbens,R,58,superior,14
hippocampus,R,53,superior,15
pallidum,R,52,superior,16
putamen,R,51,superior,17
thalamus,R,49,superior,18
caudate,R,50,superior,19
caudate,R,50,inferior,20
accumbens,R,58,inferior,21
putamen,R,51,inferior,22
thalamus,R,49,inferior,23
pallidum,R,52,inferior,24
amygdala,R,54,inferior,25
hippocampus,R,53,inferior,26
