region,Hemisphere,seg_index,face,plot_order
Thalamus-9,L,383,lateral,1
Thalamus-7,L,379,lateral,2
Caudate-1,L,347,lateral,3
Caudate-3,L,351,lateral,4
Amygdala-1,L,345,lateral,5
Caudate-2,L,349,lateral,6
Caudate-4,L,353,lateral,7
Thalamus-6,L,377,lateral,8
Thalamus-5,L,375,lateral,9
Thalamus-2,L,369,lateral,10
Caudate-5,L,355,lateral,11
Caudate-6,L,357,lateral,12
Caudate-7,L,359,lateral,13
Putamen-2,L,363,lateral,14
Putamen-3,L,365,lateral,15
Putamen-3,L,365,medial,16
Putamen-2,L,363,medial,17
Pallidum-1,L,361,medial,18
Thalamus-5,L,375,medial,19
Thalamus-6,L,377,medial,20
Thalamus-7,L,379,medial,21
Thalamus-8,L,381,medial,22
Thalamus-2,L,369,medial,23
Thalamus-4,L,373,medial,24
Caudate-5,L,355,medial,25
Amygdala-1,L,345,medial,26
Thalamus-9,L,383,medial,27
Caudate-3,L,351,medial,28
Caudate-4,L,353,medial,29
Caudate-6,L,357,medial,30
Caudate-7,L,359,medial,31
Caudate-1,L,347,medial,32
Caudate-2,L,349,medial,33
Thalamus-3,L,371,medial,34
Thalamus-1,L,367,medial,35
Thalamus-9,L,383,superior,36
Caudate-3,L,351,superior,37
Caudate-2,L,349,superior,38
Caudate-1,L,347,superior,39
Thalamus-4,L,373,superior,40
Thalamus-5,L,375,superior,41
Pallidum-1,L,361,superior,42
Putamen-3,L,365,superior,43
Putamen-2,L,363,superior,44
Thalamus-2,L,369,superior,45
Thalamus-1,L,367,superior,46
Caudate-5,L,355,superior,47
Caudate-6,L,357,superior,48
Caudate-4,L,353,superior,49
Caudate-7,L,359,superior,50
Thalamus-6,L,377,superior,51
Thalamus-8,L,381,superior,52
Caudate-5,L,355,inferior,53
Caudate-6,L,357,inferior,54
Caudate-4,L,353,inferior,55
Thalamus-1,L,367,inferior,56
Caudate-1,L,347,inferior,57
Caudate-2,L,349,inferior,58
Thalamus-6,L,377,inferior,59
Thalamus-2,L,369,inferior,60
Thalamus-5,L,375,inferior,61
Putamen-3,L,365,inferior,62
Putamen-2,L,363,inferior,63
Caudate-3,L,351,inferior,64
Pallidum-1,L,361,inferior,65
Amygdala-1,L,345,inferior,66
Thalamus-8,L,381,inferior,67
Thalamus-9,L,383,inferior,68
Thalamus-9,R,384,lateral,69
Thalamus-7,R,380,lateral,70
Caudate-3,R,352,lateral,71
Caudate-1,R,348,lateral,72
Amygdala-1,R,346,lateral,73
Caudate-2,R,350,lateral,74
Caudate-4,R,354,lateral,75
Thalamus-6,R,378,lateral,76
Thalamus-5,R,376,lateral,77
Thalamus-2,R,370,lateral,78
Caudate-5,R,356,lateral,79
Caudate-6,R,358,lateral,80
Caudate-7,R,360,lateral,81
Putamen-2,R,364,lateral,82
Putamen-3,R,366,lateral,83
Putamen-3,R,366,medial,84
Putamen-2,R,364,medial,85
Pallidum-1,R,362,medial,86
Thalamus-5,R,376,medial,87
Thalamus-6,R,378,medial,88
Thalamus-7,R,380,medial,89
Thalamus-8,R,382,medial,90
Thalamus-4,R,374,medial,91
Caudate-5,R,356,medial,92
Amygdala-1,R,346,medial,93
Thalamus-9,R,384,medial,94
Caudate-4,R,354,medial,95
Caudate-6,R,358,medial,96
Caudate-7,R,360,medial,97
Caudate-1,R,348,medial,98
Caudate-2,R,350,medial,99
Caudate-3,R,352,medial,100
Thalamus-2,R,370,medial,101
Thalamus-3,R,372,medial,102
Thalamus-1,R,368,medial,103
Thalamus-9,R,384,superior,104
Caudate-3,R,352,superior,105
Caudate-2,R,350,superior,106
Caudate-1,R,348,superior,107
Thalamus-4,R,374,superior,108
Thalamus-5,R,376,superior,109
Pallidum-1,R,362,superior,110
Putamen-3,R,366,superior,111
Putamen-2,R,364,superior,112
Thalamus-2,R,370,superior,113
Thalamus-1,R,368,superior,114
Caudate-5,R,356,superior,115
Caudate-6,R,358,superior,116
Caudate-4,R,354,superior,117
Caudate-7,R,360,superior,118
Thalamus-6,R,378,superior,119
Thalamus-8,R,382,superior,120
Caudate-5,R,356,inferior,121
Caudate-6,R,358,inferior,122
Caudate-4,R,354,inferior,123
Thalamus-1,R,368,inferior,124
Caudate-1,R,348,inferior,125
Caudate-2,R,350,inferior,126
Thalamus-6,R,378,inferior,127
Thalamus-2,R,370,inferior,128
Thalamus-5,R,376,inferior,129
Putamen-3,R,366,inferior,130
Putamen-2,R,364,inferior,131
Caudate-3,R,352,inferior,132
Pallidum-1,R,362,inferior,133
Amygdala-1,R,346,inferior,134
Thalamus-8,R,382,inferior,135
Thalamus-9,R,384,inferior,136
