region,Hemisphere,seg_index,face,plot_order
mAmyg,L,211,lateral,1
rHipp,L,215,lateral,2
lAmyg,L,213,lateral,3
cHipp,L,217,lateral,4
rTtha,L,237,lateral,5
cTtha,L,243,lateral,6
Otha,L,241,lateral,7
PPtha,L,239,lateral,8
lPFtha,L,245,lateral,9
mPMtha,L,233,lateral,10
Stha,L,235,lateral,11
NAC,L,223,lateral,12
vCa,L,219,lateral,13
dCa,L,227,lateral,14
vmPu,L,225,lateral,15
GP,L,221,lateral,16
dlPu,L,229,lateral,17
dlPu,L,229,medial,18
vmPu,L,225,medial,19
GP,L,221,medial,20
dCa,L,227,medial,21
vCa,L,219,medial,22
NAC,L,223,medial,23
PPtha,L,239,medial,24
lAmyg,L,213,medial,25
cHipp,L,217,medial,26
rHipp,L,215,medial,27
Stha,L,235,medial,28
lPFtha,L,245,medial,29
Otha,L,241,medial,30
cTtha,L,243,medial,31
mPFtha,L,231,medial,32
rTtha,L,237,medial,33
mAmyg,L,211,medial,34
cHipp,L,217,superior,35
rHipp,L,215,superior,36
vmPu,L,225,superior,37
NAC,L,223,superior,38
mPFtha,L,231,superior,39
Otha,L,241,superior,40
PPtha,L,239,superior,41
Stha,L,235,superior,42
mPMtha,L,233,superior,43
cTtha,L,243,superior,44
rTtha,L,237,superior,45
vCa,L,219,superior,46
vmPu,L,225,superior,47
dlPu,L,229,superior,48
GP,L,221,superior,49
cTtha,L,243,inferior,50
dCa,L,227,superior,51
dCa,L,227,inferior,52
rTtha,L,237,inferior,53
mPFtha,L,231,inferior,54
dlPu,L,229,inferior,55
vmPu,L,225,inferior,56
vCa,L,219,inferior,57
NAC,L,223,inferior,58
Otha,L,241,inferior,59
PPtha,L,239,inferior,60
lPFtha,L,245,inferior,61
Stha,L,235,inferior,62
lAmyg,L,213,inferior,63
mAmyg,L,211,inferior,64
rHipp,L,215,inferior,65
cHipp,L,217,inferior,66
