region,Hemisphere,seg_index,face,plot_order
mAmyg,L,211,lateral,1
rHipp,L,215,lateral,2
lAmyg,L,213,lateral,3
cHipp,L,217,lateral,4
rTtha,L,237,lateral,5
cTtha,L,243,lateral,6
Otha,L,241,lateral,7
PPtha,L,239,lateral,8
lPFtha,L,245,lateral,9
mPMtha,L,233,lateral,10
Stha,L,235,lateral,11
NAC,L,223,lateral,12
vCa,L,219,lateral,13
dCa,L,227,lateral,14
vmPu,L,225,lateral,15
GP,L,221,lateral,16
dlPu,L,229,lateral,17
dlPu,L,229,medial,18
vmPu,L,225,medial,19
GP,L,221,medial,20
dCa,L,227,medial,21
vCa,L,219,medial,22
NAC,L,223,medial,23
PPtha,L,239,medial,24
lAmyg,L,213,medial,25
cHipp,L,217,medial,26
rHipp,L,215,medial,27
Stha,L,235,medial,28
lPFtha,L,245,medial,29
Otha,L,241,medial,30
cTtha,L,243,medial,31
mPFtha,L,231,medial,32
rTtha,L,237,medial,33
mAmyg,L,211,medial,34
cHipp,L,217,superior,35
rHipp,L,215,superior,36
vmPu,L,225,superior,37
NAC,L,223,superior,38
mPFtha,L,231,superior,39
Otha,L,241,superior,40
PPtha,L,239,superior,41
Stha,L,235,superior,42
mPMtha,L,233,superior,43
cTtha,L,243,superior,44
rTtha,L,237,superior,45
vCa,L,219,superior,46
vmPu,L,225,superior,47
dlPu,L,229,superior,48
GP,L,221,superior,49
cTtha,L,243,inferior,50
dCa,L,227,superior,51
dCa,L,227,inferior,52
rTtha,L,237,inferior,53
mPFtha,L,231,inferior,54
dlPu,L,229,inferior,55
vmPu,L,225,inferior,56
vCa,L,219,inferior,57
NAC,L,223,inferior,58
Otha,L,241,inferior,59
PPtha,L,239,inferior,60
lPFtha,L,245,inferior,61
Stha,L,235,inferior,62
lAmyg,L,213,inferior,63
mAmyg,L,211,inferior,64
rHipp,L,215,inferior,65
cHipp,L,217,inferior,66
mAmyg,R,212,lateral,67
rHipp,R,216,lateral,68
lAmyg,R,214,lateral,69
cHipp,R,218,lateral,70
dCa,R,228,lateral,71
rTtha,R,238,lateral,72
cTtha,R,244,lateral,73
Otha,R,242,lateral,74
PPtha,R,240,lateral,75
lPFtha,R,246,lateral,76
mPMtha,R,234,lateral,77
Stha,R,236,lateral,78
NAC,R,224,lateral,79
vCa,R,220,lateral,80
vmPu,R,226,lateral,81
GP,R,222,lateral,82
dlPu,R,230,lateral,83
dlPu,R,230,medial,84
vmPu,R,226,medial,85
GP,R,222,medial,86
vCa,R,220,medial,87
NAC,R,224,medial,88
lAmyg,R,214,medial,89
cHipp,R,218,medial,90
rHipp,R,216,medial,91
Stha,R,236,medial,92
lPFtha,R,246,medial,93
PPtha,R,240,medial,94
mPFtha,R,232,medial,95
Otha,R,242,medial,96
cTtha,R,244,medial,97
mPMtha,R,234,medial,98
rTtha,R,238,medial,99
mAmyg,R,212,medial,100
dCa,R,228,medial,101
cHipp,R,218,superior,102
rHipp,R,216,superior,103
vmPu,R,226,superior,104
NAC,R,224,superior,105
mPFtha,R,232,superior,106
Stha,R,236,superior,107
mPMtha,R,234,superior,108
PPtha,R,240,superior,109
Otha,R,242,superior,110
cTtha,R,244,superior,111
rTtha,R,238,superior,112
vCa,R,220,superior,113
vmPu,R,226,superior,114
dlPu,R,230,superior,115
GP,R,222,superior,116
cTtha,R,244,inferior,117
dCa,R,228,superior,118
dCa,R,228,inferior,119
rTtha,R,238,inferior,120
mPFtha,R,232,inferior,121
dlPu,R,230,inferior,122
vmPu,R,226,inferior,123
vCa,R,220,inferior,124
NAC,R,224,inferior,125
Otha,R,242,inferior,126
PPtha,R,240,inferior,127
lPFtha,R,246,inferior,128
Stha,R,236,inferior,129
lAmyg,R,214,inferior,130
mAmyg,R,212,inferior,131
rHipp,R,216,inferior,132
cHipp,R,218,inferior,133
