region,Hemisphere,seg_index,face,plot_order
RPa,B,34,lateral,1
ROb,B,33,lateral,2
RMg,B,28,lateral,3
DR,B,4,lateral,4
CLi_RLi,B,1,lateral,5
RN1,L,29,lateral,6
RN2,L,31,lateral,7
SOC,L,41,lateral,8
iMRtm,L,53,lateral,9
VSM,L,47,lateral,10
sMRtl,L,63,lateral,11
iMRtl,L,51,lateral,12
ION,L,7,lateral,13
LDTg_CGPn,L,11,lateral,14
Ve,L,45,lateral,15
LC,L,10,lateral,16
SubC,L,43,lateral,17
PCRtA,L,21,lateral,18
PMnR,B,23,lateral,19
MnR,B,17,lateral,20
MPB,L,18,lateral,21
LPB,L,13,lateral,22
VTA_PBP,L,49,lateral,23
SN1,L,37,lateral,24
SN2,L,39,lateral,25
mRta,L,57,lateral,26
PTg,L,26,lateral,27
PAG,B,20,lateral,28
CnF,L,2,lateral,29
isRt,L,55,lateral,30
MiTg_PBG,L,15,lateral,31
IC,L,5,lateral,32
mRtd,L,59,lateral,33
SC,L,35,lateral,34
mRtl,L,61,lateral,35
ION,L,7,medial,36
sMRtl,L,63,medial,37
SOC,L,41,medial,38
iMRtl,L,51,medial,39
RPa,B,34,medial,40
sMRtm,L,65,medial,41
VSM,L,47,medial,42
ROb,B,33,medial,43
Ve,L,45,medial,44
PCRtA,L,21,medial,45
RMg,B,28,medial,46
IC,L,5,medial,47
mRtl,L,61,medial,48
PTg,L,26,medial,49
SubC,L,43,medial,50
PnO_PnC,L,24,medial,51
LPB,L,13,medial,52
MPB,L,18,medial,53
LC,L,10,medial,54
LDTg_CGPn,L,11,medial,55
PMnR,B,23,medial,56
MnR,B,17,medial,57
SN1,L,37,medial,58
SC,L,35,medial,59
DR,B,4,medial,60
PAG,B,20,medial,61
SN2,L,39,medial,62
VTA_PBP,L,49,medial,63
mRtd,L,59,medial,64
RN2,L,31,medial,65
mRta,L,57,medial,66
CLi_RLi,B,1,medial,67
RN1,L,29,medial,68
SN1,L,37,superior,69
SN2,L,39,superior,70
RN2,L,31,superior,71
VTA_PBP,L,49,superior,72
RN1,L,29,superior,73
mRta,L,57,superior,74
PTg,L,26,superior,75
isRt,L,55,superior,76
iMRtl,L,51,superior,77
ROb,B,33,superior,78
VSM,L,47,superior,79
sMRtl,L,63,superior,80
Ve,L,45,superior,81
LDTg_CGPn,L,11,superior,82
MPB,L,18,superior,83
LPB,L,13,superior,84
CLi_RLi,B,1,superior,85
DR,B,4,superior,86
PAG,B,20,superior,87
IC,L,5,superior,88
CnF,L,2,superior,89
SC,L,35,superior,90
MiTg_PBG,L,15,superior,91
mRtl,L,61,superior,92
mRtd,L,59,superior,93
RN1,L,29,inferior,94
mRta,L,57,inferior,95
RN2,L,31,inferior,96
VTA_PBP,L,49,inferior,97
mRtd,L,59,inferior,98
CLi_RLi,B,1,inferior,99
mRtl,L,61,inferior,100
SC,L,35,inferior,101
PAG,B,20,inferior,102
DR,B,4,inferior,103
PMnR,B,23,inferior,104
CnF,L,2,inferior,105
MiTg_PBG,L,15,inferior,106
PTg,L,26,inferior,107
LPB,L,13,inferior,108
LDTg_CGPn,L,11,inferior,109
MPB,L,18,inferior,110
PnO_PnC,L,24,inferior,111
PCRtA,L,21,inferior,112
SOC,L,41,inferior,113
sMRtm,L,65,inferior,114
sMRtl,L,63,inferior,115
VSM,L,47,inferior,116
ION,L,7,inferior,117
ROb,B,33,inferior,118
iMRtm,L,53,inferior,119
RPa,B,34,inferior,120
iMRtl,L,51,inferior,121
SN2,L,39,inferior,122
SN1,L,37,inferior,123
