region,Hemisphere,seg_index,face,plot_order
putamen_posterior,R,15,medial,1
putamen_anterior,R,14,medial,2
accumbens_core,R,11,medial,3
accumbens_shell,R,10,medial,4
caudate_anterior,R,16,medial,5
caudate_posterior,R,17,medial,6
pallidum_posterior,R,12,medial,7
pallidum_anterior,R,13,medial,8
amygdala_lateral,R,4,medial,9
amygdala_medial,R,5,medial,10
hippocampus_tail,R,1,medial,11
hippocampus_body,R,2,medial,12
hippocampus_head,R,3,medial,13
thalamus_DP,R,6,medial,14
thalamus_VP,R,7,medial,15
thalamus_DA,R,9,medial,16
thalamus_VA,R,8,medial,17
thalamus_VA,R,8,lateral,18
thalamus_DA,R,9,lateral,19
thalamus_DP,R,6,lateral,20
thalamus_VP,R,7,lateral,21
hippocampus_tail,R,1,lateral,22
hippocampus_body,R,2,lateral,23
hippocampus_head,R,3,lateral,24
amygdala_medial,R,5,lateral,25
amygdala_lateral,R,4,lateral,26
caudate_posterior,R,17,lateral,27
caudate_anterior,R,16,lateral,28
accumbens_core,R,11,lateral,29
putamen_anterior,R,14,lateral,30
putamen_posterior,R,15,lateral,31
hippocampus_tail,R,1,superior,32
hippocampus_head,R,3,superior,33
hippocampus_body,R,2,superior,34
amygdala_lateral,R,4,superior,35
amygdala_medial,R,5,superior,36
accumbens_core,R,11,superior,37
accumbens_shell,R,10,superior,38
thalamus_DP,R,6,superior,39
pallidum_anterior,R,13,superior,40
pallidum_posterior,R,12,superior,41
thalamus_VP,R,7,superior,42
thalamus_VA,R,8,superior,43
thalamus_DA,R,9,superior,44
putamen_anterior,R,14,superior,45
putamen_posterior,R,15,superior,46
caudate_anterior,R,16,superior,47
caudate_posterior,R,17,superior,48
caudate_anterior,R,16,inferior,49
caudate_posterior,R,17,inferior,50
thalamus_DA,R,9,inferior,51
putamen_posterior,R,15,inferior,52
putamen_anterior,R,14,inferior,53
pallidum_anterior,R,13,inferior,54
accumbens_core,R,11,inferior,55
accumbens_shell,R,10,inferior,56
thalamus_VP,R,7,inferior,57
thalamus_VA,R,8,inferior,58
amygdala_medial,R,5,inferior,59
amygdala_lateral,R,4,inferior,60
thalamus_DP,R,6,inferior,61
hippocampus_tail,R,1,inferior,62
hippocampus_body,R,2,inferior,63
hippocampus_head,R,3,inferior,64
