region,Hemisphere,seg_index,face,plot_order
thalamus_VP_med,R,8,lateral,1
thalamus_DA_med,R,11,lateral,2
thalamus_VA_sup,R,10,lateral,3
thalamus_VP_lat,R,9,lateral,4
thalamus_DA_lat,R,12,lateral,5
thalamus_DP,R,23,lateral,6
hippocampus_tail,R,7,lateral,7
hippocampus_body,R,6,lateral,8
amygdala_med,R,22,lateral,9
hippocampus_head_lat,R,5,lateral,10
amygdala_lat,R,21,lateral,11
accumbens_core,R,25,lateral,12
caudate_DA,R,18,lateral,13
caudate_body,R,19,lateral,14
caudate_tail,R,20,lateral,15
putamen_VA,R,13,lateral,16
putamen_DA,R,14,lateral,17
putamen_DP,R,16,lateral,18
putamen_VP,R,15,lateral,19
putamen_DA,R,14,medial,20
putamen_VP,R,15,medial,21
putamen_DP,R,16,medial,22
putamen_VA,R,13,medial,23
thalamus_VP_lat,R,9,medial,24
accumbens_core,R,25,medial,25
accumbens_shell,R,24,medial,26
caudate_DA,R,18,medial,27
caudate_VA,R,17,medial,28
caudate_body,R,19,medial,29
caudate_tail,R,20,medial,30
amygdala_lat,R,21,medial,31
hippocampus_head_lat,R,5,medial,32
hippocampus_body,R,6,medial,33
hippocampus_head_med_1,R,1,medial,34
hippocampus_head_med_2,R,2,medial,35
amygdala_med,R,22,medial,36
hippocampus_tail,R,7,medial,37
GP_post,R,26,medial,38
GP_ant,R,27,medial,39
thalamus_DA_lat,R,12,medial,40
thalamus_DP,R,23,medial,41
thalamus_VP_med,R,8,medial,42
thalamus_DA_med,R,11,medial,43
thalamus_VA_sup,R,10,medial,44
thalamus_VA_inf_post,R,3,medial,45
thalamus_VA_inf_ant,R,4,medial,46
hippocampus_head_lat,R,5,superior,47
hippocampus_head_med_1,R,1,superior,48
hippocampus_head_med_2,R,2,superior,49
hippocampus_body,R,6,superior,50
hippocampus_tail,R,7,superior,51
amygdala_lat,R,21,superior,52
amygdala_med,R,22,superior,53
GP_ant,R,27,superior,54
GP_post,R,26,superior,55
thalamus_DP,R,23,superior,56
accumbens_core,R,25,superior,57
accumbens_shell,R,24,superior,58
thalamus_VA_inf_post,R,3,superior,59
thalamus_VA_inf_ant,R,4,superior,60
putamen_VA,R,13,superior,61
putamen_DA,R,14,superior,62
putamen_VP,R,15,superior,63
putamen_DP,R,16,superior,64
thalamus_VP_lat,R,9,superior,65
thalamus_VP_med,R,8,superior,66
thalamus_DA_lat,R,12,superior,67
thalamus_DA_med,R,11,superior,68
thalamus_VA_sup,R,10,superior,69
caudate_VA,R,17,superior,70
caudate_DA,R,18,superior,71
caudate_body,R,19,superior,72
caudate_tail,R,20,superior,73
caudate_tail,R,20,inferior,74
caudate_body,R,19,inferior,75
caudate_DA,R,18,inferior,76
caudate_VA,R,17,inferior,77
putamen_DA,R,14,inferior,78
putamen_DP,R,16,inferior,79
putamen_VP,R,15,inferior,80
putamen_VA,R,13,inferior,81
GP_ant,R,27,inferior,82
GP_post,R,26,inferior,83
accumbens_core,R,25,inferior,84
accumbens_shell,R,24,inferior,85
thalamus_DA_med,R,11,inferior,86
thalamus_DA_lat,R,12,inferior,87
thalamus_VP_med,R,8,inferior,88
thalamus_VP_lat,R,9,inferior,89
thalamus_VA_sup,R,10,inferior,90
thalamus_VA_inf_post,R,3,inferior,91
thalamus_VA_inf_ant,R,4,inferior,92
amygdala_med,R,22,inferior,93
amygdala_lat,R,21,inferior,94
thalamus_DP,R,23,inferior,95
hippocampus_tail,R,7,inferior,96
hippocampus_body,R,6,inferior,97
hippocampus_head_lat,R,5,inferior,98
hippocampus_head_med_1,R,1,inferior,99
hippocampus_head_med_2,R,2,inferior,100
