region,Hemisphere,seg_index,face,plot_order
thalamus_VP_med,L,35,lateral,1
thalamus_DA_med,L,38,lateral,2
thalamus_VA_sup,L,37,lateral,3
thalamus_VP_lat,L,36,lateral,4
thalamus_DA_lat,L,39,lateral,5
thalamus_DP,L,50,lateral,6
hippocampus_tail,L,34,lateral,7
hippocampus_body,L,33,lateral,8
amygdala_med,L,49,lateral,9
hippocampus_head_lat,L,32,lateral,10
amygdala_lat,L,48,lateral,11
accumbens_core,L,52,lateral,12
caudate_DA,L,45,lateral,13
caudate_body,L,46,lateral,14
caudate_tail,L,47,lateral,15
putamen_VA,L,40,lateral,16
putamen_DA,L,41,lateral,17
putamen_DP,L,43,lateral,18
putamen_VP,L,42,lateral,19
putamen_DA,L,41,medial,20
putamen_VP,L,42,medial,21
putamen_DP,L,43,medial,22
putamen_VA,L,40,medial,23
thalamus_VP_lat,L,36,medial,24
accumbens_core,L,52,medial,25
accumbens_shell,L,51,medial,26
caudate_DA,L,45,medial,27
caudate_VA,L,44,medial,28
caudate_body,L,46,medial,29
caudate_tail,L,47,medial,30
amygdala_lat,L,48,medial,31
hippocampus_head_lat,L,32,medial,32
hippocampus_body,L,33,medial,33
hippocampus_head_med_1,L,28,medial,34
hippocampus_head_med_2,L,29,medial,35
amygdala_med,L,49,medial,36
hippocampus_tail,L,34,medial,37
GP_post,L,53,medial,38
GP_ant,L,54,medial,39
thalamus_DA_lat,L,39,medial,40
thalamus_DP,L,50,medial,41
thalamus_VP_med,L,35,medial,42
thalamus_DA_med,L,38,medial,43
thalamus_VA_sup,L,37,medial,44
thalamus_VA_inf_post,L,30,medial,45
thalamus_VA_inf_ant,L,31,medial,46
hippocampus_head_lat,L,32,superior,47
hippocampus_head_med_1,L,28,superior,48
hippocampus_head_med_2,L,29,superior,49
hippocampus_body,L,33,superior,50
hippocampus_tail,L,34,superior,51
amygdala_lat,L,48,superior,52
amygdala_med,L,49,superior,53
GP_ant,L,54,superior,54
GP_post,L,53,superior,55
thalamus_DP,L,50,superior,56
accumbens_core,L,52,superior,57
accumbens_shell,L,51,superior,58
thalamus_VA_inf_post,L,30,superior,59
thalamus_VA_inf_ant,L,31,superior,60
putamen_VA,L,40,superior,61
putamen_DA,L,41,superior,62
putamen_VP,L,42,superior,63
putamen_DP,L,43,superior,64
thalamus_VP_lat,L,36,superior,65
thalamus_VP_med,L,35,superior,66
thalamus_DA_lat,L,39,superior,67
thalamus_DA_med,L,38,superior,68
thalamus_VA_sup,L,37,superior,69
caudate_VA,L,44,superior,70
caudate_DA,L,45,superior,71
caudate_body,L,46,superior,72
caudate_tail,L,47,superior,73
caudate_tail,L,47,inferior,74
caudate_body,L,46,inferior,75
caudate_DA,L,45,inferior,76
caudate_VA,L,44,inferior,77
putamen_DA,L,41,inferior,78
putamen_DP,L,43,inferior,79
putamen_VP,L,42,inferior,80
putamen_VA,L,40,inferior,81
GP_ant,L,54,inferior,82
GP_post,L,53,inferior,83
accumbens_core,L,52,inferior,84
accumbens_shell,L,51,inferior,85
thalamus_DA_med,L,38,inferior,86
thalamus_DA_lat,L,39,inferior,87
thalamus_VP_med,L,35,inferior,88
thalamus_VP_lat,L,36,inferior,89
thalamus_VA_sup,L,37,inferior,90
thalamus_VA_inf_post,L,30,inferior,91
thalamus_VA_inf_ant,L,31,inferior,92
amygdala_med,L,49,inferior,93
amygdala_lat,L,48,inferior,94
thalamus_DP,L,50,inferior,95
hippocampus_tail,L,34,inferior,96
hippocampus_body,L,33,inferior,97
hippocampus_head_lat,L,32,inferior,98
hippocampus_head_med_1,L,28,inferior,99
hippocampus_head_med_2,L,29,inferior,100
thalamus_VP_med,R,8,lateral,101
thalamus_DA_med,R,11,lateral,102
thalamus_VA_sup,R,10,lateral,103
thalamus_VP_lat,R,9,lateral,104
thalamus_DA_lat,R,12,lateral,105
thalamus_DP,R,23,lateral,106
hippocampus_tail,R,7,lateral,107
hippocampus_body,R,6,lateral,108
amygdala_med,R,22,lateral,109
hippocampus_head_lat,R,5,lateral,110
amygdala_lat,R,21,lateral,111
accumbens_core,R,25,lateral,112
caudate_DA,R,18,lateral,113
caudate_body,R,19,lateral,114
caudate_tail,R,20,lateral,115
putamen_VA,R,13,lateral,116
putamen_DA,R,14,lateral,117
putamen_DP,R,16,lateral,118
putamen_VP,R,15,lateral,119
putamen_DA,R,14,medial,120
putamen_VP,R,15,medial,121
putamen_DP,R,16,medial,122
putamen_VA,R,13,medial,123
thalamus_VP_lat,R,9,medial,124
accumbens_core,R,25,medial,125
accumbens_shell,R,24,medial,126
caudate_DA,R,18,medial,127
caudate_VA,R,17,medial,128
caudate_body,R,19,medial,129
caudate_tail,R,20,medial,130
amygdala_lat,R,21,medial,131
hippocampus_head_lat,R,5,medial,132
hippocampus_body,R,6,medial,133
hippocampus_head_med_1,R,1,medial,134
hippocampus_head_med_2,R,2,medial,135
amygdala_med,R,22,medial,136
hippocampus_tail,R,7,medial,137
GP_post,R,26,medial,138
GP_ant,R,27,medial,139
thalamus_DA_lat,R,12,medial,140
thalamus_DP,R,23,medial,141
thalamus_VP_med,R,8,medial,142
thalamus_DA_med,R,11,medial,143
thalamus_VA_sup,R,10,medial,144
thalamus_VA_inf_post,R,3,medial,145
thalamus_VA_inf_ant,R,4,medial,146
hippocampus_head_lat,R,5,superior,147
hippocampus_head_med_1,R,1,superior,148
hippocampus_head_med_2,R,2,superior,149
hippocampus_body,R,6,superior,150
hippocampus_tail,R,7,superior,151
amygdala_lat,R,21,superior,152
amygdala_med,R,22,superior,153
GP_ant,R,27,superior,154
GP_post,R,26,superior,155
thalamus_DP,R,23,superior,156
accumbens_core,R,25,superior,157
accumbens_shell,R,24,superior,158
thalamus_VA_inf_post,R,3,superior,159
thalamus_VA_inf_ant,R,4,superior,160
putamen_VA,R,13,superior,161
putamen_DA,R,14,superior,162
putamen_VP,R,15,superior,163
putamen_DP,R,16,superior,164
thalamus_VP_lat,R,9,superior,165
thalamus_VP_med,R,8,superior,166
thalamus_DA_lat,R,12,superior,167
thalamus_DA_med,R,11,superior,168
thalamus_VA_sup,R,10,superior,169
caudate_VA,R,17,superior,170
caudate_DA,R,18,superior,171
caudate_body,R,19,superior,172
caudate_tail,R,20,superior,173
caudate_tail,R,20,inferior,174
caudate_body,R,19,inferior,175
caudate_DA,R,18,inferior,176
caudate_VA,R,17,inferior,177
putamen_DA,R,14,inferior,178
putamen_DP,R,16,inferior,179
putamen_VP,R,15,inferior,180
putamen_VA,R,13,inferior,181
GP_ant,R,27,inferior,182
GP_post,R,26,inferior,183
accumbens_core,R,25,inferior,184
accumbens_shell,R,24,inferior,185
thalamus_DA_med,R,11,inferior,186
thalamus_DA_lat,R,12,inferior,187
thalamus_VP_med,R,8,inferior,188
thalamus_VP_lat,R,9,inferior,189
thalamus_VA_sup,R,10,inferior,190
thalamus_VA_inf_post,R,3,inferior,191
thalamus_VA_inf_ant,R,4,inferior,192
amygdala_med,R,22,inferior,193
amygdala_lat,R,21,inferior,194
thalamus_DP,R,23,inferior,195
hippocampus_tail,R,7,inferior,196
hippocampus_body,R,6,inferior,197
hippocampus_head_lat,R,5,inferior,198
hippocampus_head_med_1,R,1,inferior,199
hippocampus_head_med_2,R,2,inferior,200
