region,Hemisphere,seg_index,face,plot_order
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,L,5,lateral,1
Medio_Dorsal,L,3,lateral,2
Ventral_Latero_Dorsal,L,4,lateral,3
Ventral_Anterior,L,6,lateral,4
Anterior,L,2,lateral,5
Pulvinar,L,1,lateral,6
Ventral_Latero_Ventral,L,7,lateral,7
Ventral_Latero_Ventral,L,7,medial,8
Anterior,L,2,medial,9
Pulvinar,L,1,medial,10
Ventral_Anterior,L,6,medial,11
Ventral_Latero_Dorsal,L,4,medial,12
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,L,5,medial,13
Medio_Dorsal,L,3,medial,14
Ventral_Latero_Ventral,L,7,superior,15
Pulvinar,L,1,superior,16
Medio_Dorsal,L,3,superior,17
Anterior,L,2,superior,18
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,L,5,superior,19
Ventral_Latero_Dorsal,L,4,superior,20
Ventral_Anterior,L,6,superior,21
Ventral_Anterior,L,6,inferior,22
Ventral_Latero_Dorsal,L,4,inferior,23
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,L,5,inferior,24
Anterior,L,2,inferior,25
Medio_Dorsal,L,3,inferior,26
Ventral_Latero_Ventral,L,7,inferior,27
Pulvinar,L,1,inferior,28
