region,Hemisphere,seg_index,face,plot_order
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,R,12,lateral,1
Medio_Dorsal,R,10,lateral,2
Ventral_Latero_Dorsal,R,11,lateral,3
Ventral_Anterior,R,13,lateral,4
Anterior,R,9,lateral,5
Pulvinar,R,8,lateral,6
Ventral_Latero_Ventral,R,14,lateral,7
Ventral_Latero_Ventral,R,14,medial,8
Anterior,R,9,medial,9
Pulvinar,R,8,medial,10
Ventral_Anterior,R,13,medial,11
Ventral_Latero_Dorsal,R,11,medial,12
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,R,12,medial,13
Medio_Dorsal,R,10,medial,14
Ventral_Latero_Ventral,R,14,superior,15
Pulvinar,R,8,superior,16
Medio_Dorsal,R,10,superior,17
Anterior,R,9,superior,18
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,R,12,superior,19
Ventral_Latero_Dorsal,R,11,superior,20
Ventral_Anterior,R,13,superior,21
Ventral_Anterior,R,13,inferior,22
Ventral_Latero_Dorsal,R,11,inferior,23
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,R,12,inferior,24
Anterior,R,9,inferior,25
Medio_Dorsal,R,10,inferior,26
Ventral_Latero_Ventral,R,14,inferior,27
Pulvinar,R,8,inferior,28
